cpp_symbol,lua_name,file,note
HealthBars::getManaBar,g_healthBars.getManaBar,src/client/healthbars.h,singleton
HealthBars::getManaBarHeight,g_healthBars.getManaBarHeight,src/client/healthbars.h,singleton
HealthBars::getManaBarOffset,g_healthBars.getManaBarOffset,src/client/healthbars.h,singleton
HealthBars::getManaBarOffsetBar,g_healthBars.getManaBarOffsetBar,src/client/healthbars.h,singleton
HealthBars::getManaBarPath,g_healthBars.getManaBarPath,src/client/healthbars.h,singleton
HealthBars::init,g_healthBars.init,src/client/healthbars.h,singleton
HealthBars::terminate,g_healthBars.terminate,src/client/healthbars.h,singleton
InputMessage::addZlibFooter,InputMessage:addZlibFooter,src/framework/net/inputmessage.h,method
InputMessage::canRead,InputMessage:canRead,src/framework/net/inputmessage.h,method
InputMessage::checkRead,InputMessage:checkRead,src/framework/net/inputmessage.h,method
InputMessage::checkWrite,InputMessage:checkWrite,src/framework/net/inputmessage.h,method
InputMessage::decryptRsa,InputMessage:decryptRsa,src/framework/net/inputmessage.h,method
InputMessage::eof,InputMessage:eof,src/framework/net/inputmessage.h,method
InputMessage::fillBuffer,InputMessage:fillBuffer,src/framework/net/inputmessage.h,method
InputMessage::getBodyBuffer,InputMessage:getBodyBuffer,src/framework/net/inputmessage.h,method
InputMessage::getBuffer,InputMessage:getBuffer,src/framework/net/inputmessage.h,method
InputMessage::getDataBuffer,InputMessage:getDataBuffer,src/framework/net/inputmessage.h,method
InputMessage::getDouble,InputMessage:getDouble,src/framework/net/inputmessage.h,method
InputMessage::getHeaderBuffer,InputMessage:getHeaderBuffer,src/framework/net/inputmessage.h,method
InputMessage::getHeaderPos,InputMessage:getHeaderPos,src/framework/net/inputmessage.h,method
InputMessage::getHeaderSize,InputMessage:getHeaderSize,src/framework/net/inputmessage.h,method
InputMessage::getMessageSize,InputMessage:getMessageSize,src/framework/net/inputmessage.h,method
InputMessage::getReadBuffer,InputMessage:getReadBuffer,src/framework/net/inputmessage.h,method
InputMessage::getReadPos,InputMessage:getReadPos,src/framework/net/inputmessage.h,method
InputMessage::getReadSize,InputMessage:getReadSize,src/framework/net/inputmessage.h,method
InputMessage::getString,InputMessage:getString,src/framework/net/inputmessage.h,method
InputMessage::getU16,InputMessage:getU16,src/framework/net/inputmessage.h,method
InputMessage::getU32,InputMessage:getU32,src/framework/net/inputmessage.h,method
InputMessage::getU64,InputMessage:getU64,src/framework/net/inputmessage.h,method
InputMessage::getU8,InputMessage:getU8,src/framework/net/inputmessage.h,method
InputMessage::getUnreadSize,InputMessage:getUnreadSize,src/framework/net/inputmessage.h,method
InputMessage::peekU16,InputMessage:peekU16,src/framework/net/inputmessage.h,method
InputMessage::peekU32,InputMessage:peekU32,src/framework/net/inputmessage.h,method
InputMessage::peekU64,InputMessage:peekU64,src/framework/net/inputmessage.h,method
InputMessage::peekU8,InputMessage:peekU8,src/framework/net/inputmessage.h,method
InputMessage::readChecksum,InputMessage:readChecksum,src/framework/net/inputmessage.h,method
InputMessage::readSize,InputMessage:readSize,src/framework/net/inputmessage.h,method
InputMessage::reset,InputMessage:reset,src/framework/net/inputmessage.h,method
InputMessage::setBuffer,InputMessage:setBuffer,src/framework/net/inputmessage.h,method
InputMessage::setHeaderSize,InputMessage:setHeaderSize,src/framework/net/inputmessage.h,method
InputMessage::setMessageSize,InputMessage:setMessageSize,src/framework/net/inputmessage.h,method
InputMessage::setReadPos,InputMessage:setReadPos,src/framework/net/inputmessage.h,method
InputMessage::skipBytes,InputMessage:skipBytes,src/framework/net/inputmessage.h,method
LocalPlayer::asLocalPlayer,LocalPlayer:asLocalPlayer,src/client/localplayer.h,method
LocalPlayer::autoWalk,LocalPlayer:autoWalk,src/client/localplayer.h,method
LocalPlayer::canWalk,LocalPlayer:canWalk,src/client/localplayer.h,method
LocalPlayer::cancelNewWalk,LocalPlayer:cancelNewWalk,src/client/localplayer.h,method
LocalPlayer::cancelWalk,LocalPlayer:cancelWalk,src/client/localplayer.h,method
LocalPlayer::draw,LocalPlayer:draw,src/client/localplayer.h,method
LocalPlayer::finishServerWalking,LocalPlayer:finishServerWalking,src/client/localplayer.h,method
LocalPlayer::getBaseMagicLevel,LocalPlayer:getBaseMagicLevel,src/client/localplayer.h,method
LocalPlayer::getBlessings,LocalPlayer:getBlessings,src/client/localplayer.h,method
LocalPlayer::getExperience,LocalPlayer:getExperience,src/client/localplayer.h,method
LocalPlayer::getFreeCapacity,LocalPlayer:getFreeCapacity,src/client/localplayer.h,method
LocalPlayer::getHealth,LocalPlayer:getHealth,src/client/localplayer.h,method
LocalPlayer::getInventoryItem,LocalPlayer:getInventoryItem,src/client/localplayer.h,method
LocalPlayer::getLevel,LocalPlayer:getLevel,src/client/localplayer.h,method
LocalPlayer::getLevelPercent,LocalPlayer:getLevelPercent,src/client/localplayer.h,method
LocalPlayer::getMagicLevel,LocalPlayer:getMagicLevel,src/client/localplayer.h,method
LocalPlayer::getMagicLevelPercent,LocalPlayer:getMagicLevelPercent,src/client/localplayer.h,method
LocalPlayer::getMana,LocalPlayer:getMana,src/client/localplayer.h,method
LocalPlayer::getMaxHealth,LocalPlayer:getMaxHealth,src/client/localplayer.h,method
LocalPlayer::getMaxMana,LocalPlayer:getMaxMana,src/client/localplayer.h,method
LocalPlayer::getOfflineTrainingTime,LocalPlayer:getOfflineTrainingTime,src/client/localplayer.h,method
LocalPlayer::getPrewalkingPosition,LocalPlayer:getPrewalkingPosition,src/client/localplayer.h,method
LocalPlayer::getRegenerationTime,LocalPlayer:getRegenerationTime,src/client/localplayer.h,method
